ItemsetSize,Items,Support
2,"attr_24,attr_43",0.617000
2,"attr_63,attr_66",0.552100
2,"attr_64,attr_66",0.413800
2,"attr_15,attr_18",0.780600
2,"attr_15,attr_17",0.783500
2,"attr_15,attr_8",0.423200
2,"attr_15,attr_41",0.618000
2,"attr_15,attr_66",0.667300
2,"attr_15,attr_25",0.594000
2,"attr_15,attr_43",0.677300
2,"attr_18,attr_80",0.438100
2,"attr_18,attr_8",0.543800
2,"attr_18,attr_41",0.774000
2,"attr_18,attr_66",0.847000
2,"attr_18,attr_25",0.744500
2,"attr_18,attr_43",0.857900
2,"attr_17,attr_8",0.545500
2,"attr_17,attr_41",0.776600
2,"attr_17,attr_66",0.849800
2,"attr_17,attr_25",0.747100
2,"attr_17,attr_43",0.860600
2,"attr_1,attr_41",0.440100
2,"attr_1,attr_66",0.434900
2,"attr_1,attr_25",0.406900
2,"attr_1,attr_43",0.465400
2,"attr_41,attr_66",0.660000
2,"attr_41,attr_43",0.677400
2,"attr_25,attr_43",0.653300
3,"attr_30,attr_31,attr_41",0.422600
3,"attr_30,attr_31,attr_66",0.442900
3,"attr_30,attr_31,attr_43",0.449500
3,"attr_29,attr_59,attr_63",0.414200
3,"attr_29,attr_59,attr_66",0.547600
3,"attr_29,attr_38,attr_41",0.441900
3,"attr_29,attr_38,attr_66",0.462000
3,"attr_29,attr_38,attr_43",0.470400
3,"attr_29,attr_31,attr_63",0.533600
3,"attr_29,attr_31,attr_8",0.454100
3,"attr_29,attr_31,attr_41",0.670200
3,"attr_29,attr_31,attr_66",0.702200
3,"attr_29,attr_31,attr_43",0.712600
3,"attr_29,attr_63,attr_66",0.482700
3,"attr_29,attr_41,attr_66",0.586000
3,"attr_29,attr_41,attr_43",0.601700
3,"attr_10,attr_16,attr_28",0.403400
3,"attr_10,attr_16,attr_27",0.454400
3,"attr_10,attr_16,attr_21",0.477800
3,"attr_10,attr_16,attr_31",0.500800
3,"attr_10,attr_16,attr_18",0.541500
3,"attr_10,attr_16,attr_17",0.543100
3,"attr_10,attr_16,attr_66",0.460900
3,"attr_10,attr_16,attr_25",0.416400
3,"attr_10,attr_16,attr_43",0.432200
3,"attr_10,attr_12,attr_27",0.467500
3,"attr_10,attr_12,attr_21",0.492000
3,"attr_10,attr_12,attr_31",0.509900
3,"attr_10,attr_12,attr_15",0.425700
3,"attr_10,attr_12,attr_18",0.557800
3,"attr_10,attr_12,attr_17",0.559200
3,"attr_10,attr_12,attr_66",0.474900
3,"attr_10,attr_12,attr_25",0.427200
3,"attr_10,attr_12,attr_43",0.444300
3,"attr_10,attr_27,attr_31",0.427500
3,"attr_10,attr_27,attr_66",0.400000
3,"attr_10,attr_21,attr_31",0.451200
3,"attr_10,attr_21,attr_66",0.420200
3,"attr_10,attr_31,attr_66",0.435800
3,"attr_10,attr_31,attr_43",0.405500
3,"attr_10,attr_15,attr_18",0.424900
3,"attr_10,attr_15,attr_17",0.426800
3,"attr_10,attr_18,attr_66",0.474000
3,"attr_10,attr_18,attr_25",0.426700
3,"attr_10,attr_18,attr_43",0.443500
3,"attr_10,attr_17,attr_66",0.476000
3,"attr_10,attr_17,attr_25",0.428400
3,"attr_10,attr_17,attr_43",0.445200
3,"attr_16,attr_28,attr_46",0.410300
3,"attr_16,attr_28,attr_59",0.554300
3,"attr_16,attr_28,attr_38",0.446000
3,"attr_16,attr_28,attr_31",0.696600
3,"attr_16,attr_28,attr_63",0.463000
3,"attr_16,attr_28,attr_8",0.414100
3,"attr_16,attr_28,attr_41",0.580800
3,"attr_16,attr_28,attr_66",0.614100
3,"attr_16,attr_28,attr_43",0.627600
3,"attr_16,attr_46,attr_59",0.408300
3,"attr_16,attr_46,attr_66",0.423900
3,"attr_16,attr_26,attr_27",0.411900
3,"attr_16,attr_26,attr_31",0.445400
3,"attr_16,attr_26,attr_43",0.404800
3,"attr_16,attr_39,attr_66",0.416300
3,"attr_16,attr_39,attr_43",0.419700
3,"attr_16,attr_59,attr_63",0.457100
3,"attr_16,attr_59,attr_8",0.407200
3,"attr_16,attr_59,attr_66",0.606300
3,"attr_16,attr_38,attr_41",0.482800
3,"attr_16,attr_38,attr_66",0.507900
3,"attr_16,attr_38,attr_43",0.517600
3,"attr_16,attr_22,attr_27",0.578400
3,"attr_16,attr_22,attr_31",0.651600
3,"attr_16,attr_22,attr_24",0.463200
3,"attr_16,attr_22,attr_63",0.431400
3,"attr_16,attr_22,attr_41",0.546500
3,"attr_16,attr_22,attr_66",0.577000
3,"attr_16,attr_22,attr_25",0.536900
3,"attr_16,attr_22,attr_43",0.586200
3,"attr_16,attr_27,attr_60",0.403900
3,"attr_16,attr_27,attr_31",0.805300
3,"attr_16,attr_27,attr_63",0.546900
3,"attr_16,attr_27,attr_8",0.454400
3,"attr_16,attr_27,attr_41",0.669300
3,"attr_16,attr_27,attr_66",0.723600
3,"attr_16,attr_27,attr_43",0.733300
3,"attr_16,attr_21,attr_23",0.434600
3,"attr_16,attr_21,attr_60",0.410900
3,"attr_16,attr_21,attr_31",0.840700
3,"attr_16,attr_21,attr_24",0.623900
3,"attr_16,attr_21,attr_63",0.571700
3,"attr_16,attr_21,attr_80",0.407700
3,"attr_16,attr_21,attr_8",0.476900
3,"attr_16,attr_21,attr_41",0.694600
3,"attr_16,attr_21,attr_66",0.753800
3,"attr_16,attr_21,attr_25",0.649100
3,"attr_16,attr_21,attr_43",0.764500
3,"attr_16,attr_23,attr_31",0.439900
3,"attr_16,attr_23,attr_66",0.403600
3,"attr_16,attr_31,attr_63",0.598400
3,"attr_16,attr_31,attr_64",0.406500
3,"attr_16,attr_31,attr_80",0.422700
3,"attr_16,attr_31,attr_8",0.504400
3,"attr_16,attr_31,attr_41",0.741700
3,"attr_16,attr_31,attr_66",0.786200
3,"attr_16,attr_31,attr_43",0.798000
3,"attr_16,attr_24,attr_63",0.451100
3,"attr_16,attr_24,attr_8",0.525700
3,"attr_16,attr_24,attr_41",0.538800
3,"attr_16,attr_24,attr_66",0.574300
3,"attr_16,attr_24,attr_25",0.524800
3,"attr_16,attr_24,attr_43",0.603300
3,"attr_16,attr_63,attr_66",0.538200
3,"attr_16,attr_64,attr_66",0.409000
3,"attr_16,attr_18,attr_80",0.433300
3,"attr_16,attr_18,attr_8",0.532400
3,"attr_16,attr_18,attr_41",0.760500
3,"attr_16,attr_18,attr_66",0.828000
3,"attr_16,attr_18,attr_25",0.729800
3,"attr_16,attr_18,attr_43",0.840600
3,"attr_16,attr_17,attr_8",0.533500
3,"attr_16,attr_17,attr_41",0.762200
3,"attr_16,attr_17,attr_66",0.829700
3,"attr_16,attr_17,attr_25",0.731200
3,"attr_16,attr_17,attr_43",0.842200
3,"attr_16,attr_41,attr_66",0.647200
3,"attr_16,attr_41,attr_43",0.665600
3,"attr_16,attr_25,attr_43",0.640300
3,"attr_28,attr_59,attr_66",0.478000
3,"attr_28,attr_31,attr_63",0.454000
3,"attr_28,attr_31,attr_8",0.405700
3,"attr_28,attr_31,attr_41",0.577200
3,"attr_28,attr_31,attr_66",0.602100
3,"attr_28,attr_31,attr_43",0.613300
3,"attr_28,attr_63,attr_66",0.403300
3,"attr_28,attr_41,attr_66",0.502000
3,"attr_28,attr_41,attr_43",0.516900
3,"attr_12,attr_26,attr_27",0.420700
3,"attr_12,attr_26,attr_31",0.452600
3,"attr_12,attr_26,attr_66",0.404900
3,"attr_12,attr_26,attr_43",0.413500
3,"attr_12,attr_39,attr_41",0.403200
3,"attr_12,attr_39,attr_66",0.423200
3,"attr_12,attr_39,attr_43",0.426100
3,"attr_12,attr_14,attr_59",0.469900
3,"attr_12,attr_14,attr_22",0.450200
3,"attr_12,attr_14,attr_27",0.542700
3,"attr_12,attr_14,attr_21",0.565700
3,"attr_12,attr_14,attr_31",0.590600
3,"attr_12,attr_14,attr_24",0.442100
3,"attr_12,attr_14,attr_15",0.587300
3,"attr_12,attr_14,attr_18",0.624700
3,"attr_12,attr_14,attr_17",0.625100
3,"attr_12,attr_14,attr_41",0.483400
3,"attr_12,attr_14,attr_66",0.532900
3,"attr_12,attr_14,attr_25",0.538200
3,"attr_12,attr_14,attr_43",0.545100
3,"attr_12,attr_59,attr_63",0.464600
3,"attr_12,attr_59,attr_8",0.412800
3,"attr_12,attr_59,attr_66",0.616100
3,"attr_12,attr_38,attr_63",0.403000
3,"attr_12,attr_38,attr_41",0.491500
3,"attr_12,attr_38,attr_66",0.519600
3,"attr_12,attr_38,attr_43",0.527800
3,"attr_12,attr_22,attr_27",0.586400
3,"attr_12,attr_22,attr_31",0.659700
3,"attr_12,attr_22,attr_24",0.470600
3,"attr_12,attr_22,attr_63",0.439100
3,"attr_12,attr_22,attr_41",0.554300
3,"attr_12,attr_22,attr_66",0.586900
3,"attr_12,attr_22,attr_25",0.544700
3,"attr_12,attr_22,attr_43",0.595200
3,"attr_12,attr_27,attr_60",0.408800
3,"attr_12,attr_27,attr_31",0.816400
3,"attr_12,attr_27,attr_63",0.559300
3,"attr_12,attr_27,attr_8",0.463000
3,"attr_12,attr_27,attr_41",0.680000
3,"attr_12,attr_27,attr_66",0.738300
3,"attr_12,attr_27,attr_43",0.746400
3,"attr_12,attr_21,attr_23",0.449700
3,"attr_12,attr_21,attr_60",0.415600
3,"attr_12,attr_21,attr_31",0.853000
3,"attr_12,attr_21,attr_24",0.637200
3,"attr_12,attr_21,attr_63",0.585200
3,"attr_12,attr_21,attr_80",0.412100
3,"attr_12,attr_21,attr_8",0.486100
3,"attr_12,attr_21,attr_41",0.706500
3,"attr_12,attr_21,attr_66",0.770000
3,"attr_12,attr_21,attr_25",0.661300
3,"attr_12,attr_21,attr_43",0.779300
3,"attr_12,attr_23,attr_31",0.450100
3,"attr_12,attr_23,attr_66",0.417800
3,"attr_12,attr_31,attr_63",0.607700
3,"attr_12,attr_31,attr_64",0.409800
3,"attr_12,attr_31,attr_80",0.427000
3,"attr_12,attr_31,attr_8",0.511500
3,"attr_12,attr_31,attr_41",0.752100
3,"attr_12,attr_31,attr_66",0.798400
3,"attr_12,attr_31,attr_43",0.808700
3,"attr_12,attr_24,attr_63",0.461700
3,"attr_12,attr_24,attr_8",0.536300
3,"attr_12,attr_24,attr_41",0.548600
3,"attr_12,attr_24,attr_66",0.587500
3,"attr_12,attr_24,attr_25",0.535100
3,"attr_12,attr_24,attr_43",0.615800
3,"attr_12,attr_63,attr_66",0.550800
3,"attr_12,attr_64,attr_66",0.412800
3,"attr_12,attr_15,attr_18",0.779900
3,"attr_12,attr_15,attr_17",0.781400
3,"attr_12,attr_15,attr_8",0.422000
3,"attr_12,attr_15,attr_41",0.616600
3,"attr_12,attr_15,attr_66",0.665400
3,"attr_12,attr_15,attr_25",0.592000
3,"attr_12,attr_15,attr_43",0.675500
3,"attr_12,attr_18,attr_80",0.437900
3,"attr_12,attr_18,attr_8",0.543200
3,"attr_12,attr_18,attr_41",0.773600
3,"attr_12,attr_18,attr_66",0.846200
3,"attr_12,attr_18,attr_25",0.743800
3,"attr_12,attr_18,attr_43",0.857200
3,"attr_12,attr_17,attr_8",0.544200
3,"attr_12,attr_17,attr_41",0.775200
3,"attr_12,attr_17,attr_66",0.847800
3,"attr_12,attr_17,attr_25",0.745000
3,"attr_12,attr_17,attr_43",0.858700
3,"attr_12,attr_41,attr_66",0.658700
3,"attr_12,attr_41,attr_43",0.676200
3,"attr_12,attr_25,attr_43",0.651500
3,"attr_26,attr_27,attr_31",0.402500
3,"attr_14,attr_22,attr_31",0.432000
3,"attr_14,attr_22,attr_25",0.401700
3,"attr_14,attr_27,attr_31",0.514600
3,"attr_14,attr_27,attr_41",0.422900
3,"attr_14,attr_27,attr_66",0.463100
3,"attr_14,attr_27,attr_43",0.474000
3,"attr_14,attr_21,attr_31",0.537000
3,"attr_14,attr_21,attr_41",0.438800
3,"attr_14,attr_21,attr_66",0.483300
3,"attr_14,attr_21,attr_25",0.482500
3,"attr_14,attr_21,attr_43",0.494300
3,"attr_14,attr_31,attr_41",0.470200
3,"attr_14,attr_31,attr_66",0.505600
3,"attr_14,attr_31,attr_43",0.515800
3,"attr_14,attr_15,attr_18",0.587500
3,"attr_14,attr_15,attr_17",0.588100
3,"attr_14,attr_15,attr_41",0.454400
3,"attr_14,attr_15,attr_66",0.500500
3,"attr_14,attr_15,attr_25",0.523300
3,"attr_14,attr_15,attr_43",0.514800
3,"attr_14,attr_18,attr_41",0.483500
3,"attr_14,attr_18,attr_66",0.533000
3,"attr_14,attr_18,attr_25",0.538600
3,"attr_14,attr_18,attr_43",0.545200
3,"attr_14,attr_17,attr_41",0.483800
3,"attr_14,attr_17,attr_66",0.533600
3,"attr_14,attr_17,attr_25",0.539000
3,"attr_14,attr_17,attr_43",0.545700
3,"attr_14,attr_41,attr_66",0.410300
3,"attr_14,attr_41,attr_43",0.427000
3,"attr_14,attr_25,attr_43",0.473100
3,"attr_38,attr_41,attr_66",0.417300
3,"attr_38,attr_41,attr_43",0.430600
3,"attr_22,attr_27,attr_31",0.564700
3,"attr_22,attr_27,attr_41",0.478000
3,"attr_22,attr_27,attr_66",0.501800
3,"attr_22,attr_27,attr_43",0.508200
3,"attr_22,attr_31,attr_63",0.420700
3,"attr_22,attr_31,attr_41",0.541700
3,"attr_22,attr_31,attr_66",0.564600
3,"attr_22,attr_31,attr_43",0.572400
3,"attr_22,attr_24,attr_43",0.412600
3,"attr_22,attr_41,attr_66",0.472900
3,"attr_22,attr_41,attr_43",0.485600
3,"attr_22,attr_25,attr_43",0.477400
3,"attr_27,attr_31,attr_63",0.525700
3,"attr_27,attr_31,attr_8",0.437000
3,"attr_27,attr_31,attr_41",0.662100
3,"attr_27,attr_31,attr_66",0.698200
3,"attr_27,attr_31,attr_43",0.706900
3,"attr_27,attr_63,attr_66",0.477200
3,"attr_27,attr_41,attr_66",0.580000
3,"attr_27,attr_41,attr_43",0.594100
3,"attr_21,attr_23,attr_31",0.418200
3,"attr_21,attr_31,attr_63",0.551100
3,"attr_21,attr_31,attr_80",0.403600
3,"attr_21,attr_31,attr_8",0.459600
3,"attr_21,attr_31,attr_41",0.689200
3,"attr_21,attr_31,attr_66",0.729500
3,"attr_21,attr_31,attr_43",0.738700
3,"attr_21,attr_24,attr_63",0.415800
3,"attr_21,attr_24,attr_8",0.480400
3,"attr_21,attr_24,attr_41",0.499300
3,"attr_21,attr_24,attr_66",0.532100
3,"attr_21,attr_24,attr_25",0.473000
3,"attr_21,attr_24,attr_43",0.558100
3,"attr_21,attr_63,attr_66",0.499500
3,"attr_21,attr_41,attr_66",0.603400
3,"attr_21,attr_41,attr_43",0.618000
3,"attr_21,attr_25,attr_43",0.580100
3,"attr_31,attr_63,attr_66",0.518900
3,"attr_31,attr_41,attr_66",0.641200
3,"attr_31,attr_41,attr_43",0.658800
3,"attr_24,attr_41,attr_66",0.458300
3,"attr_24,attr_41,attr_43",0.483100
3,"attr_24,attr_25,attr_43",0.473200
3,"attr_15,attr_18,attr_8",0.421700
3,"attr_15,attr_18,attr_41",0.615600
3,"attr_15,attr_18,attr_66",0.664600
3,"attr_15,attr_18,attr_25",0.591200
3,"attr_15,attr_18,attr_43",0.674600
3,"attr_15,attr_17,attr_8",0.423100
3,"attr_15,attr_17,attr_41",0.617800
3,"attr_15,attr_17,attr_66",0.667100
3,"attr_15,attr_17,attr_25",0.593800
3,"attr_15,attr_17,attr_43",0.677100
3,"attr_15,attr_41,attr_66",0.525800
3,"attr_15,attr_41,attr_43",0.539900
3,"attr_15,attr_25,attr_43",0.520500
3,"attr_18,attr_41,attr_66",0.657600
3,"attr_18,attr_41,attr_43",0.675100
3,"attr_18,attr_25,attr_43",0.650900
3,"attr_17,attr_41,attr_66",0.659800
3,"attr_17,attr_41,attr_43",0.677200
3,"attr_17,attr_25,attr_43",0.653100
4,"attr_29,attr_31,attr_63,attr_66",0.453100
4,"attr_29,attr_31,attr_41,attr_66",0.569100
4,"attr_29,attr_31,attr_41,attr_43",0.585400
4,"attr_10,attr_16,attr_27,attr_31",0.419000
4,"attr_10,attr_16,attr_21,attr_31",0.441900
4,"attr_10,attr_16,attr_21,attr_66",0.406700
4,"attr_10,attr_16,attr_31,attr_66",0.426400
4,"attr_10,attr_16,attr_18,attr_66",0.459300
4,"attr_10,attr_16,attr_18,attr_25",0.415100
4,"attr_10,attr_16,attr_18,attr_43",0.430800
4,"attr_10,attr_16,attr_17,attr_66",0.460700
4,"attr_10,attr_16,attr_17,attr_25",0.416200
4,"attr_10,attr_16,attr_17,attr_43",0.432000
4,"attr_10,attr_12,attr_27,attr_31",0.426400
4,"attr_10,attr_12,attr_21,attr_31",0.450000
4,"attr_10,attr_12,attr_21,attr_66",0.418900
4,"attr_10,attr_12,attr_31,attr_66",0.434700
4,"attr_10,attr_12,attr_31,attr_43",0.404600
4,"attr_10,attr_12,attr_15,attr_18",0.424400
4,"attr_10,attr_12,attr_15,attr_17",0.425500
4,"attr_10,attr_12,attr_18,attr_66",0.473400
4,"attr_10,attr_12,attr_18,attr_25",0.426100
4,"attr_10,attr_12,attr_18,attr_43",0.443000
4,"attr_10,attr_12,attr_17,attr_66",0.474700
4,"attr_10,attr_12,attr_17,attr_25",0.427000
4,"attr_10,attr_12,attr_17,attr_43",0.444100
4,"attr_16,attr_28,attr_59,attr_66",0.468300
4,"attr_16,attr_28,attr_31,attr_63",0.444500
4,"attr_16,attr_28,attr_31,attr_41",0.566400
4,"attr_16,attr_28,attr_31,attr_66",0.589700
4,"attr_16,attr_28,attr_31,attr_43",0.602100
4,"attr_16,attr_28,attr_41,attr_66",0.490100
4,"attr_16,attr_28,attr_41,attr_43",0.506000
4,"attr_16,attr_38,attr_41,attr_66",0.409300
4,"attr_16,attr_38,attr_41,attr_43",0.423400
4,"attr_16,attr_22,attr_27,attr_31",0.558600
4,"attr_16,attr_22,attr_27,attr_41",0.472200
4,"attr_16,attr_22,attr_27,attr_66",0.494400
4,"attr_16,attr_22,attr_27,attr_43",0.501500
4,"attr_16,attr_22,attr_31,attr_63",0.415200
4,"attr_16,attr_22,attr_31,attr_41",0.534900
4,"attr_16,attr_22,attr_31,attr_66",0.556900
4,"attr_16,attr_22,attr_31,attr_43",0.565400
4,"attr_16,attr_22,attr_24,attr_43",0.406000
4,"attr_16,attr_22,attr_41,attr_66",0.465700
4,"attr_16,attr_22,attr_41,attr_43",0.478800
4,"attr_16,attr_22,attr_25,attr_43",0.470500
4,"attr_16,attr_27,attr_31,attr_63",0.516800
4,"attr_16,attr_27,attr_31,attr_8",0.430100
4,"attr_16,attr_27,attr_31,attr_41",0.652500
4,"attr_16,attr_27,attr_31,attr_66",0.686700
4,"attr_16,attr_27,attr_31,attr_43",0.696900
4,"attr_16,attr_27,attr_63,attr_66",0.465500
4,"attr_16,attr_27,attr_41,attr_66",0.569500
4,"attr_16,attr_27,attr_41,attr_43",0.584600
4,"attr_16,attr_21,attr_23,attr_31",0.408500
4,"attr_16,attr_21,attr_31,attr_63",0.541100
4,"attr_16,attr_21,attr_31,attr_8",0.452100
4,"attr_16,attr_21,attr_31,attr_41",0.678100
4,"attr_16,attr_21,attr_31,attr_66",0.716700
4,"attr_16,attr_21,attr_31,attr_43",0.727400
4,"attr_16,attr_21,attr_24,attr_63",0.405400
4,"attr_16,attr_21,attr_24,attr_8",0.470000
4,"attr_16,attr_21,attr_24,attr_41",0.489700
4,"attr_16,attr_21,attr_24,attr_66",0.519200
4,"attr_16,attr_21,attr_24,attr_25",0.462900
4,"attr_16,attr_21,attr_24,attr_43",0.545900
4,"attr_16,attr_21,attr_63,attr_66",0.486600
4,"attr_16,attr_21,attr_41,attr_66",0.591600
4,"attr_16,attr_21,attr_41,attr_43",0.607200
4,"attr_16,attr_21,attr_25,attr_43",0.568500
4,"attr_16,attr_31,attr_63,attr_66",0.509300
4,"attr_16,attr_31,attr_41,attr_66",0.630500
4,"attr_16,attr_31,attr_41,attr_43",0.649100
4,"attr_16,attr_24,attr_41,attr_66",0.448800
4,"attr_16,attr_24,attr_41,attr_43",0.474200
4,"attr_16,attr_24,attr_25,attr_43",0.463400
4,"attr_16,attr_18,attr_41,attr_66",0.645600
4,"attr_16,attr_18,attr_41,attr_43",0.664100
4,"attr_16,attr_18,attr_25,attr_43",0.639000
4,"attr_16,attr_17,attr_41,attr_66",0.647000
4,"attr_16,attr_17,attr_41,attr_43",0.665400
4,"attr_16,attr_17,attr_25,attr_43",0.640100
4,"attr_28,attr_31,attr_41,attr_66",0.488700
4,"attr_28,attr_31,attr_41,attr_43",0.503300
4,"attr_12,attr_26,attr_27,attr_31",0.401900
4,"attr_12,attr_14,attr_22,attr_31",0.431900
4,"attr_12,attr_14,attr_22,attr_25",0.401500
4,"attr_12,attr_14,attr_27,attr_31",0.514200
4,"attr_12,attr_14,attr_27,attr_41",0.422700
4,"attr_12,attr_14,attr_27,attr_66",0.462600
4,"attr_12,attr_14,attr_27,attr_43",0.473500
4,"attr_12,attr_14,attr_21,attr_31",0.536400
4,"attr_12,attr_14,attr_21,attr_41",0.438400
4,"attr_12,attr_14,attr_21,attr_66",0.482600
4,"attr_12,attr_14,attr_21,attr_25",0.481700
4,"attr_12,attr_14,attr_21,attr_43",0.493700
4,"attr_12,attr_14,attr_31,attr_41",0.469800
4,"attr_12,attr_14,attr_31,attr_66",0.505100
4,"attr_12,attr_14,attr_31,attr_43",0.515400
4,"attr_12,attr_14,attr_15,attr_18",0.587000
4,"attr_12,attr_14,attr_15,attr_17",0.587300
